"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.173205887E0,1.201841980E-1,2.786227167E-1,-2.108950168E-1
1.178102241E0,1.159082651E-1,3.042782843E-1,-2.506000996E-1
1.182998543E0,1.177408099E-1,3.378748894E-1,-2.738122940E-1
1.187898126E0,1.232384369E-1,3.708606362E-1,-2.768665254E-1
1.192791199E0,1.293469071E-1,3.867426813E-1,-2.628170252E-1
1.197687501E0,1.415638477E-1,3.671955466E-1,-2.347180545E-1
1.202583804E0,1.653869003E-1,2.957264185E-1,-1.931804419E-1
1.207480106E0,2.014268786E-1,1.808871478E-1,-1.351499557E-1
1.212376460E0,2.429644912E-1,4.588989913E-2,-6.978929788E-2
1.217272762E0,2.851129472E-1,-8.910734206E-2,-6.872031838E-3
1.222169064E0,3.235963285E-1,-2.289913595E-1,4.993676394E-2
1.227065418E0,3.620797098E-1,-3.865899444E-1,9.697200358E-2
1.231961720E0,4.042281806E-1,-5.417451859E-1,1.409530044E-1
1.236858022E0,4.579827189E-1,-6.621584296E-1,1.953947693E-1
1.241754376E0,5.166240931E-1,-7.360709310E-1,2.607554197E-1
1.246650679E0,5.654918551E-1,-7.794411182E-1,3.206184506E-1
1.251546981E0,5.966450572E-1,-8.154810667E-1,3.670428395E-1
1.256443283E0,6.161921620E-1,-8.441908956E-1,3.951418102E-1
1.261339637E0,6.320741773E-1,-8.509102464E-1,4.036936760E-1
1.266235939E0,6.479562521E-1,-8.209787011E-1,3.914767504E-1
1.271132241E0,6.558972597E-1,-7.617265582E-1,3.578801453E-1
1.276028595E0,6.449019909E-1,-6.878139973E-1,3.010713458E-1
1.280924897E0,6.113054156E-1,-6.029062271E-1,2.265479714E-1
1.285821199E0,5.557183027E-1,-5.075377226E-1,1.458397806E-1
1.290735991E0,4.799732268E-1,-4.201865494E-1,6.948387623E-2
1.295613856E0,3.865135908E-1,-3.517716527E-1,-7.635590737E-4
1.300510158E0,2.826695740E-1,-2.992388010E-1,-6.306997687E-2
1.305406460E0,1.812689304E-1,-2.430408597E-1,-1.107160673E-1
1.310320939E0,8.964183182E-2,-1.721825749E-1,-1.345391124E-1
1.315199116E0,-1.664558798E-2,-5.001311749E-2,-1.394258887E-1
1.320113595E0,-1.522536725E-1,1.570640951E-1,-1.528645307E-1
1.324991772E0,-2.646495700E-1,3.873535097E-1,-1.669140160E-1
1.329888074E0,-3.306210935E-1,6.145886779E-1,-1.754658818E-1
1.334784376E0,-3.568875194E-1,8.118923903E-1,-1.760767251E-1
1.339698856E0,-3.471139669E-1,9.383377433E-1,-1.644706279E-1
1.344577033E0,-3.067980409E-1,9.731560349E-1,-1.479777545E-1
1.349473335E0,-2.383831441E-1,9.108496308E-1,-1.388150454E-1
1.354369637E0,-1.504211426E-1,7.880693078E-1,-1.284306347E-1
1.359265991E0,-5.573981255E-2,6.475744247E-1,-1.039967462E-1
1.364162293E0,3.649812192E-2,5.040253401E-1,-6.795676053E-2
1.369058595E0,1.024696305E-1,3.879643679E-1,-3.069507517E-2
1.373954897E0,1.250709742E-1,3.036674559E-1,-3.191677108E-2
1.378851251E0,1.018587798E-1,2.346417010E-1,-5.085303262E-2
1.383747554E0,8.231166750E-2,2.126512080E-1,-3.863608837E-2
1.388647189E0,1.055238619E-1,2.578538954E-1,-1.374406274E-3
1.393540210E0,1.360662282E-1,3.873535097E-1,4.566083103E-2
1.398436512E0,1.623326540E-1,5.437304378E-1,9.086353332E-2
1.403332814E0,2.044811249E-1,6.713975072E-1,1.360662282E-1
1.408229168E0,3.229855001E-1,6.439093947E-1,2.216611952E-1
1.413125470E0,5.606050491E-1,2.682383060E-1,3.713187873E-1
1.418021772E0,8.013552427E-1,-3.548259139E-1,5.301390886E-1
1.422918074E0,8.544989824E-1,-8.093726039E-1,6.474217176E-1
1.427814429E0,7.213342786E-1,-8.655705452E-1,7.036196589E-1
1.432710731E0,5.361711979E-1,-6.383354068E-1,7.140040994E-1
1.437607033E0,3.584146202E-1,-2.766374648E-1,6.920135617E-1
1.442503387E0,1.849340051E-1,1.136939451E-1,6.407024264E-1
1.447399689E0,2.367033064E-2,4.594334960E-1,5.710658431E-1
1.452295991E0,-1.076618284E-1,7.367581725E-1,4.928773940E-1
1.457192293E0,-2.060082406E-1,9.291750193E-1,4.256841838E-1
1.462088647E0,-2.713688910E-1,1.012250304E0,3.865899444E-1
1.466984949E0,-3.080197275E-1,9.792644978E-1,3.670428395E-1
1.471881251E0,-3.171824515E-1,8.705337048E-1,3.603235185E-1
1.476777606E0,-2.903051674E-1,7.404232621E-1,3.749838471E-1
1.481673908E0,-2.237228155E-1,6.133670211E-1,4.085804522E-1
1.486570210E0,-1.345391124E-1,5.040253401E-1,4.513397813E-1
1.491466512E0,-4.779879749E-2,4.233935177E-1,4.947099090E-1
1.496362866E0,2.794626169E-2,3.733040392E-1,5.307499170E-1
1.501259168E0,8.903098851E-2,3.458158970E-1,5.594597459E-1
1.506155470E0,1.275143623E-1,3.281013370E-1,5.747309327E-1
1.511051824E0,1.464506239E-1,3.097759187E-1,5.790068507E-1
1.515948126E0,1.488940120E-1,2.853420377E-1,5.771743059E-1
1.520862866E0,1.391204596E-1,2.554105222E-1,5.557946563E-1
1.525740783E0,1.293469071E-1,2.114295065E-1,5.386909246E-1
1.530637085E0,1.036913246E-1,1.979908645E-1,5.197546482E-1
1.535533387E0,7.131642103E-2,2.285332382E-1,4.745519757E-1
1.540429689E0,5.360184610E-2,2.792335451E-1,4.336251915E-1
1.545326043E0,4.443913698E-2,3.458158970E-1,4.043045342E-1
1.550222345E0,4.871506989E-2,3.867426813E-1,3.804814816E-1
1.555118647E0,7.742489129E-2,3.568111658E-1,3.627669215E-1
1.560033179E0,1.152974218E-1,2.725142241E-1,3.407764137E-1
1.564911304E0,1.403421611E-1,2.047101855E-1,3.328354061E-1
1.569807606E0,1.488940120E-1,1.961583197E-1,3.438306451E-1
1.574703908E0,1.598892659E-1,2.212030590E-1,3.694862425E-1
1.579618439E0,1.568350345E-1,2.835094929E-1,3.926984370E-1
1.584496564E0,1.354553849E-1,3.555894494E-1,3.988068998E-1
1.589411043E0,1.055238619E-1,4.178958833E-1,3.926984370E-1
1.594289220E0,6.887302548E-2,4.655419588E-1,3.731513321E-1
1.599185522E0,2.916795574E-2,4.844782352E-1,3.395547271E-1
1.604081824E0,-1.236965694E-2,4.826456904E-1,3.029038906E-1
1.608978126E0,-4.963133857E-2,4.795914590E-1,2.668638825E-1
1.613874481E0,-8.017370105E-2,4.753155112E-1,2.350998372E-1
1.618770783E0,-1.009425074E-1,4.759263694E-1,2.112767994E-1
1.623667085E0,-1.149920002E-1,4.899758697E-1,2.045574784E-1
1.628563439E0,-1.162136942E-1,5.052470565E-1,2.070008665E-1
1.633459741E0,-1.015533581E-1,5.040253401E-1,2.094442546E-1
1.638356043E0,-7.834116369E-2,4.863107800E-1,2.167744190E-1
1.643252397E0,-5.451811850E-2,4.521033168E-1,2.296022177E-1
1.648148699E0,-2.825168520E-2,4.154524803E-1,2.442625463E-1
1.653045001E0,-3.817795310E-3,3.794125021E-1,2.564795017E-1
1.657941304E0,2.000524849E-2,3.415399790E-1,2.680855989E-1
1.662837658E0,4.627167806E-2,3.030565977E-1,2.760266066E-1
1.667733960E0,6.704048812E-2,2.694599926E-1,2.815242410E-1
1.672630262E0,7.437065244E-2,2.407501787E-1,2.809133828E-1
1.677526564E0,6.887302548E-2,2.144837379E-1,2.760266066E-1
1.682422918E0,5.665608495E-2,2.004342526E-1,2.717506886E-1
1.687319220E0,4.627167806E-2,2.065427303E-1,2.705289721E-1
1.692215522E0,3.955236077E-2,2.273115367E-1,2.699181437E-1
1.697111876E0,2.916795574E-2,2.535779774E-1,2.680855989E-1
1.702008179E0,1.084253844E-2,2.841203213E-1,2.711398304E-1
1.706904481E0,-1.786728203E-2,3.158843815E-1,2.760266066E-1
1.711800783E0,-5.146388337E-2,3.421508074E-1,2.821350694E-1
1.716697137E0,-8.200624585E-2,3.574219942E-1,2.906869352E-1
1.721593439E0,-1.070509851E-1,3.757474124E-1,3.053472638E-1
1.726489741E0,-1.296523362E-1,4.087331593E-1,3.279486299E-1
1.731404272E0,-1.491994411E-1,4.527141750E-1,3.578801453E-1
1.736282397E0,-1.608055383E-1,4.973060191E-1,3.939201236E-1
1.741178699E0,-1.626380831E-1,5.400653481E-1,4.311818182E-1
1.746075054E0,-1.577513069E-1,5.718293786E-1,4.647783935E-1
1.750971356E0,-1.516428292E-1,5.938199162E-1,4.867689013E-1
1.755867658E0,-1.504211426E-1,6.213080287E-1,4.989858568E-1
1.760763960E0,-1.400367320E-1,6.329141259E-1,5.026509166E-1
1.765660314E0,-1.211004704E-1,5.895439386E-1,4.995967150E-1
1.770556616E0,-1.033858955E-1,4.979168773E-1,4.916556776E-1
1.775452918E0,-9.055810422E-2,3.977379203E-1,4.818821251E-1
1.780349272E0,-7.834116369E-2,3.164952397E-1,4.727194309E-1
1.785245574E0,-6.795676053E-2,2.511345744E-1,4.580591023E-1
1.790160054E0,-5.940489471E-2,2.047101855E-1,4.385119677E-1
1.795038179E0,-5.818320066E-2,1.845522225E-1,4.110238552E-1
