"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.606939481E0,1.072500038E1,-4.111875153E1,-3.570000076E1
3.616939481E0,1.074375057E1,-4.089375305E1,-3.603750229E1
3.626939481E0,1.072500038E1,-4.104375076E1,-3.596250153E1
3.636939481E0,1.066875076E1,-4.104375076E1,-3.594375229E1
3.646939481E0,1.085625076E1,-4.100625229E1,-3.594375229E1
3.656939481E0,1.076250076E1,-4.081875229E1,-3.590625000E1
3.666939481E0,1.070625019E1,-4.066875076E1,-3.605625153E1
3.676939481E0,1.048125076E1,-4.070625305E1,-3.605625153E1
3.686939481E0,1.051875019E1,-4.085625076E1,-3.605625153E1
3.696939481E0,1.035000038E1,-4.102500153E1,-3.615000153E1
3.706939481E0,1.029375076E1,-4.093125153E1,-3.643125153E1
3.716939481E0,1.038750076E1,-4.074375153E1,-3.656250000E1
3.726939481E0,1.018125057E1,-4.053750229E1,-3.660000229E1
3.736939481E0,1.012500000E1,-4.078125000E1,-3.691875076E1
3.746939481E0,1.008750057E1,-4.081875229E1,-3.686250305E1
3.756939481E0,1.027500057E1,-4.068750000E1,-3.660000229E1
3.766939481E0,1.029375076E1,-4.061250305E1,-3.641250229E1
3.776939481E0,1.046250057E1,-4.053750229E1,-3.603750229E1
3.786939481E0,1.063125038E1,-4.031250000E1,-3.551250076E1
3.796939481E0,1.072500038E1,-4.038750076E1,-3.523125076E1
3.806939481E0,1.111875057E1,-4.053750229E1,-3.502500153E1
3.816939481E0,1.141875076E1,-4.053750229E1,-3.461250305E1
3.826939481E0,1.175625038E1,-4.061250305E1,-3.433125305E1
3.836939481E0,1.183125019E1,-4.063125229E1,-3.438750076E1
3.846939481E0,1.215000057E1,-4.070625305E1,-3.431250000E1
3.856939481E0,1.224375057E1,-4.072500229E1,-3.420000076E1
3.866939481E0,1.237500095E1,-4.102500153E1,-3.436875153E1
3.876939481E0,1.237500095E1,-4.126875305E1,-3.429375076E1
3.886939481E0,1.243125057E1,-4.138125229E1,-3.431250000E1
3.896939481E0,1.254375076E1,-4.138125229E1,-3.406875229E1
3.906939481E0,1.256250095E1,-4.143750000E1,-3.391875076E1
3.916939481E0,1.280625057E1,-4.151250076E1,-3.369375229E1
3.926939481E0,1.293750095E1,-4.130625153E1,-3.339375305E1
3.936939481E0,1.335000038E1,-4.119375229E1,-3.331875229E1
3.946939481E0,1.376250076E1,-4.121250153E1,-3.301875305E1
3.956939481E0,1.425000095E1,-4.117500305E1,-3.290625000E1
3.966939481E0,1.443750095E1,-4.110000229E1,-3.275625229E1
3.976939481E0,1.432500076E1,-4.125000000E1,-3.292500305E1
3.986939481E0,1.443750095E1,-4.104375076E1,-3.294375229E1
3.996939481E0,1.470000076E1,-4.110000229E1,-3.290625000E1
4.006939481E0,1.485000038E1,-4.145625305E1,-3.279375076E1
4.016939481E0,1.481250095E1,-4.164375305E1,-3.262500000E1
4.026939481E0,1.490625095E1,-4.155000305E1,-3.266250229E1
4.036939481E0,1.494375038E1,-4.140000153E1,-3.266250229E1
4.046939481E0,1.490625095E1,-4.147500229E1,-3.256875229E1
4.056939481E0,1.520625019E1,-4.132500076E1,-3.228750229E1
4.066939481E0,1.535625076E1,-4.143750000E1,-3.221250153E1
4.076939481E0,1.526250076E1,-4.151250076E1,-3.208125305E1
4.086939481E0,1.528125095E1,-4.149375153E1,-3.215625000E1
4.096939481E0,1.537500095E1,-4.166250229E1,-3.236250305E1
4.106939481E0,1.539375019E1,-4.168125153E1,-3.221250153E1
4.116939481E0,1.554375076E1,-4.200000000E1,-3.215625000E1
4.126939481E0,1.580625057E1,-4.186875153E1,-3.206250000E1
4.136939481E0,1.593750095E1,-4.196250153E1,-3.208125305E1
