"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.055694272E0,-3.235009313E-1,-4.271106720E-1,1.359038115E0
1.060608804E0,-4.340816736E-1,-2.876548767E-1,1.963239670E0
1.065486929E0,-3.177612424E-1,-1.964025497E-1,2.116061687E0
1.070401408E0,-6.339812279E-2,-1.839761734E-1,1.764684916E0
1.075279533E0,3.996205330E-2,-1.165828705E-1,1.290335894E0
1.080175887E0,-1.263239980E-1,8.154201508E-2,9.349722862E-1
1.085072189E0,-4.091401100E-1,3.666534424E-1,6.558742523E-1
1.089986668E0,-5.632049441E-1,6.381521225E-1,4.720582962E-1
1.094864845E0,-6.088182330E-1,9.293823242E-1,4.142045975E-1
1.099779324E0,-5.301320553E-1,1.175849915E0,3.485417366E-1
1.104657449E0,-5.092331767E-1,1.330121994E0,2.559559345E-1
1.109571981E0,-6.632924676E-1,1.373502731E0,2.868363857E-1
1.114450106E0,-7.724350095E-1,1.306530952E0,3.690557480E-1
1.119349949E0,-7.338669896E-1,1.127363205E0,4.810678959E-1
1.124242710E0,-6.211311817E-1,8.367652893E-1,4.457256794E-1
1.129139064E0,-5.456162095E-1,5.451288223E-1,1.627943516E-1
1.134035366E0,-6.946996450E-1,2.646017075E-1,-2.387429476E-1
1.138935158E0,-7.756519318E-1,9.775543213E-2,-5.467269421E-1
1.143828022E0,-2.841882706E-1,-1.107549667E-1,-5.946761370E-1
1.148724324E0,-8.238756657E-2,-3.249902725E-1,-5.337476730E-1
1.153620626E0,-1.383405924E-2,-5.115499496E-1,-5.265827179E-1
1.158516929E0,-4.127681255E-3,-5.681009293E-1,-5.514942408E-1
1.163413283E0,9.014457464E-2,-5.214986801E-1,-5.437655449E-1
1.168309585E0,2.186288238E-1,-3.913087845E-1,-4.937886000E-1
1.173205887E0,2.065834105E-1,-2.613935471E-1,-4.301851988E-1
1.178102241E0,5.133080482E-2,-7.944107056E-2,-3.908084631E-1
1.182998543E0,-3.030234575E-2,6.125831604E-2,-3.680771589E-1
1.187898126E0,-1.611462831E-1,1.917800903E-1,-3.283647299E-1
1.192791199E0,-3.157820106E-1,3.001909256E-1,-2.121990919E-1
1.197687501E0,-4.450424910E-1,3.483428955E-1,6.368470192E-2
1.202583804E0,-5.144529939E-1,3.792343140E-1,5.489900112E-1
1.207480106E0,-7.543076277E-1,4.666404724E-1,1.002472401E0
1.212376460E0,-9.713355303E-1,4.624433517E-1,1.276670933E0
1.217272762E0,-9.938974380E-1,3.432035446E-1,1.281815529E0
1.222169064E0,-1.008520126E0,3.192481995E-1,1.226263285E0
1.227065418E0,-8.647629619E-1,5.499210358E-1,1.267542362E0
1.231961720E0,-6.846927404E-1,7.289943695E-1,1.245723248E0
1.236858022E0,-7.570382953E-1,7.421321869E-1,1.204694152E0
1.241754376E0,-8.352361321E-1,5.804424286E-1,1.078220010E0
1.246650679E0,-7.637364268E-1,3.759222031E-1,8.305748701E-1
1.251546981E0,-6.831032634E-1,2.362718582E-1,5.782874823E-1
1.256443283E0,-6.234142184E-1,1.328039169E-1,3.637745380E-1
1.261339637E0,-5.834370255E-1,1.541328430E-2,2.344633341E-1
1.266235939E0,-5.975223780E-1,-7.523727417E-2,8.997642994E-2
